path,valence,arousal,dominance
audio\audio_train\10337_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10338_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10339_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10340_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10341_anger.wav,-0.51,0.59,0.25
audio\audio_train\10342_neutral.wav,0.0,0.0,0.0
audio\audio_train\10343_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10345_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10346_anger.wav,-0.51,0.59,0.25
audio\audio_train\10348_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10349_neutral.wav,0.0,0.0,0.0
audio\audio_train\10350_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10351_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10352_neutral.wav,0.0,0.0,0.0
audio\audio_train\10353_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10354_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10355_anger.wav,-0.51,0.59,0.25
audio\audio_train\10356_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10357_neutral.wav,0.0,0.0,0.0
audio\audio_train\10358_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10359_happiness.wav,0.81,0.51,0.46
audio\audio_train\10360_anger.wav,-0.51,0.59,0.25
audio\audio_train\10361_anger.wav,-0.51,0.59,0.25
audio\audio_train\10362_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10363_neutral.wav,0.0,0.0,0.0
audio\audio_train\10364_neutral.wav,0.0,0.0,0.0
audio\audio_train\10365_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10366_neutral.wav,0.0,0.0,0.0
audio\audio_train\10367_neutral.wav,0.0,0.0,0.0
audio\audio_train\10369_anger.wav,-0.51,0.59,0.25
audio\audio_train\10370_anger.wav,-0.51,0.59,0.25
audio\audio_train\10371_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10372_happiness.wav,0.81,0.51,0.46
audio\audio_train\10373_neutral.wav,0.0,0.0,0.0
audio\audio_train\10374_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10375_anger.wav,-0.51,0.59,0.25
audio\audio_train\10376_neutral.wav,0.0,0.0,0.0
audio\audio_train\10377_neutral.wav,0.0,0.0,0.0
audio\audio_train\10378_anger.wav,-0.51,0.59,0.25
audio\audio_train\10379_neutral.wav,0.0,0.0,0.0
audio\audio_train\10381_neutral.wav,0.0,0.0,0.0
audio\audio_train\10382_neutral.wav,0.0,0.0,0.0
audio\audio_train\10383_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10384_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10385_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10386_neutral.wav,0.0,0.0,0.0
audio\audio_train\10387_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10388_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10389_anger.wav,-0.51,0.59,0.25
audio\audio_train\10390_anger.wav,-0.51,0.59,0.25
audio\audio_train\10391_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10392_neutral.wav,0.0,0.0,0.0
audio\audio_train\10393_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10394_happiness.wav,0.81,0.51,0.46
audio\audio_train\10395_neutral.wav,0.0,0.0,0.0
audio\audio_train\10396_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10397_anger.wav,-0.51,0.59,0.25
audio\audio_train\10398_anger.wav,-0.51,0.59,0.25
audio\audio_train\10399_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10400_anger.wav,-0.51,0.59,0.25
audio\audio_train\10401_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10402_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10403_neutral.wav,0.0,0.0,0.0
audio\audio_train\10404_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10405_anger.wav,-0.51,0.59,0.25
audio\audio_train\10406_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10407_happiness.wav,0.81,0.51,0.46
audio\audio_train\10408_happiness.wav,0.81,0.51,0.46
audio\audio_train\10409_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10411_anger.wav,-0.51,0.59,0.25
audio\audio_train\10412_neutral.wav,0.0,0.0,0.0
audio\audio_train\10413_anger.wav,-0.51,0.59,0.25
audio\audio_train\10414_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10415_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10416_neutral.wav,0.0,0.0,0.0
audio\audio_train\10417_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10418_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10419_anger.wav,-0.51,0.59,0.25
audio\audio_train\10421_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10422_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10423_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10424_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10425_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10426_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10427_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10428_neutral.wav,0.0,0.0,0.0
audio\audio_train\10429_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10430_neutral.wav,0.0,0.0,0.0
audio\audio_train\10431_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10432_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10433_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10435_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10436_neutral.wav,0.0,0.0,0.0
audio\audio_train\10437_anger.wav,-0.51,0.59,0.25
audio\audio_train\10438_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10439_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10440_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10441_anger.wav,-0.51,0.59,0.25
audio\audio_train\10442_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10443_neutral.wav,0.0,0.0,0.0
audio\audio_train\10444_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10445_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10446_neutral.wav,0.0,0.0,0.0
audio\audio_train\10447_anger.wav,-0.51,0.59,0.25
audio\audio_train\10449_happiness.wav,0.81,0.51,0.46
audio\audio_train\10450_happiness.wav,0.81,0.51,0.46
audio\audio_train\10451_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10452_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10453_neutral.wav,0.0,0.0,0.0
audio\audio_train\10454_neutral.wav,0.0,0.0,0.0
audio\audio_train\10455_neutral.wav,0.0,0.0,0.0
audio\audio_train\10456_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10457_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10458_neutral.wav,0.0,0.0,0.0
audio\audio_train\10459_anxiety.wav,-0.35,0.55,-0.45
audio\audio_train\10460_happiness.wav,0.81,0.51,0.46
audio\audio_train\10461_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10462_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10463_happiness.wav,0.81,0.51,0.46
audio\audio_train\10464_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10465_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10466_happiness.wav,0.81,0.51,0.46
audio\audio_train\10467_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10468_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10469_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10470_neutral.wav,0.0,0.0,0.0
audio\audio_train\10472_anger.wav,-0.51,0.59,0.25
audio\audio_train\10473_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10474_happiness.wav,0.81,0.51,0.46
audio\audio_train\10475_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10476_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10477_happiness.wav,0.81,0.51,0.46
audio\audio_train\10478_anxiety.wav,-0.35,0.55,-0.45
audio\audio_train\10479_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10480_happiness.wav,0.81,0.51,0.46
audio\audio_train\10481_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10482_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10483_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10484_neutral.wav,0.0,0.0,0.0
audio\audio_train\10485_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10486_neutral.wav,0.0,0.0,0.0
audio\audio_train\10487_neutral.wav,0.0,0.0,0.0
audio\audio_train\10488_neutral.wav,0.0,0.0,0.0
audio\audio_train\10489_anger.wav,-0.51,0.59,0.25
audio\audio_train\10490_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10491_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10492_anger.wav,-0.51,0.59,0.25
audio\audio_train\10494_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10495_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10496_neutral.wav,0.0,0.0,0.0
audio\audio_train\10497_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10498_happiness.wav,0.81,0.51,0.46
audio\audio_train\10499_neutral.wav,0.0,0.0,0.0
audio\audio_train\10500_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10501_neutral.wav,0.0,0.0,0.0
audio\audio_train\10502_happiness.wav,0.81,0.51,0.46
audio\audio_train\10503_neutral.wav,0.0,0.0,0.0
audio\audio_train\10504_neutral.wav,0.0,0.0,0.0
audio\audio_train\10505_neutral.wav,0.0,0.0,0.0
audio\audio_train\10506_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10507_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10508_neutral.wav,0.0,0.0,0.0
audio\audio_train\10509_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10510_happiness.wav,0.81,0.51,0.46
audio\audio_train\10511_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10512_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10513_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10514_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10515_anger.wav,-0.51,0.59,0.25
audio\audio_train\10516_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10517_neutral.wav,0.0,0.0,0.0
audio\audio_train\10518_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10520_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10521_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10522_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10523_anger.wav,-0.51,0.59,0.25
audio\audio_train\10524_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10525_neutral.wav,0.0,0.0,0.0
audio\audio_train\10526_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10527_anger.wav,-0.51,0.59,0.25
audio\audio_train\10528_happiness.wav,0.81,0.51,0.46
audio\audio_train\10529_anger.wav,-0.51,0.59,0.25
audio\audio_train\10530_happiness.wav,0.81,0.51,0.46
audio\audio_train\10531_anger.wav,-0.51,0.59,0.25
audio\audio_train\10532_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10533_happiness.wav,0.81,0.51,0.46
audio\audio_train\10534_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10535_neutral.wav,0.0,0.0,0.0
audio\audio_train\10537_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10538_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10539_neutral.wav,0.0,0.0,0.0
audio\audio_train\10540_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10541_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10542_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10543_neutral.wav,0.0,0.0,0.0
audio\audio_train\10544_anger.wav,-0.51,0.59,0.25
audio\audio_train\10545_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10546_neutral.wav,0.0,0.0,0.0
audio\audio_train\10547_neutral.wav,0.0,0.0,0.0
audio\audio_train\10548_neutral.wav,0.0,0.0,0.0
audio\audio_train\10550_neutral.wav,0.0,0.0,0.0
audio\audio_train\10551_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10552_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10553_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10554_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10555_happiness.wav,0.81,0.51,0.46
audio\audio_train\10556_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10557_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10558_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10559_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10561_anger.wav,-0.51,0.59,0.25
audio\audio_train\10562_neutral.wav,0.0,0.0,0.0
audio\audio_train\10563_anger.wav,-0.51,0.59,0.25
audio\audio_train\10564_neutral.wav,0.0,0.0,0.0
audio\audio_train\10565_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10566_neutral.wav,0.0,0.0,0.0
audio\audio_train\10567_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10568_neutral.wav,0.0,0.0,0.0
audio\audio_train\10569_happiness.wav,0.81,0.51,0.46
audio\audio_train\10570_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10571_anger.wav,-0.51,0.59,0.25
audio\audio_train\10572_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10573_happiness.wav,0.81,0.51,0.46
audio\audio_train\10574_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10575_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10576_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10577_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10578_anger.wav,-0.51,0.59,0.25
audio\audio_train\10579_happiness.wav,0.81,0.51,0.46
audio\audio_train\10580_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10581_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10582_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10583_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10584_happiness.wav,0.81,0.51,0.46
audio\audio_train\10585_anger.wav,-0.51,0.59,0.25
audio\audio_train\10586_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10587_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10588_anger.wav,-0.51,0.59,0.25
audio\audio_train\10589_happiness.wav,0.81,0.51,0.46
audio\audio_train\10590_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10591_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10592_neutral.wav,0.0,0.0,0.0
audio\audio_train\10593_neutral.wav,0.0,0.0,0.0
audio\audio_train\10594_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10595_neutral.wav,0.0,0.0,0.0
audio\audio_train\10596_neutral.wav,0.0,0.0,0.0
audio\audio_train\10597_anger.wav,-0.51,0.59,0.25
audio\audio_train\10598_happiness.wav,0.81,0.51,0.46
audio\audio_train\10599_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10600_anger.wav,-0.51,0.59,0.25
audio\audio_train\10602_neutral.wav,0.0,0.0,0.0
audio\audio_train\10603_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10604_happiness.wav,0.81,0.51,0.46
audio\audio_train\10606_anger.wav,-0.51,0.59,0.25
audio\audio_train\10608_neutral.wav,0.0,0.0,0.0
audio\audio_train\10609_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10610_neutral.wav,0.0,0.0,0.0
audio\audio_train\10611_anger.wav,-0.51,0.59,0.25
audio\audio_train\10612_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10613_neutral.wav,0.0,0.0,0.0
audio\audio_train\10615_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10616_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10617_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10618_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10620_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10621_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10622_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10623_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10624_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10625_anger.wav,-0.51,0.59,0.25
audio\audio_train\10626_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10627_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10628_neutral.wav,0.0,0.0,0.0
audio\audio_train\10629_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10630_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10631_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10632_anger.wav,-0.51,0.59,0.25
audio\audio_train\10634_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10635_anger.wav,-0.51,0.59,0.25
audio\audio_train\10636_anger.wav,-0.51,0.59,0.25
audio\audio_train\10638_happiness.wav,0.81,0.51,0.46
audio\audio_train\10640_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10641_neutral.wav,0.0,0.0,0.0
audio\audio_train\10642_happiness.wav,0.81,0.51,0.46
audio\audio_train\10644_neutral.wav,0.0,0.0,0.0
audio\audio_train\10645_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10646_anger.wav,-0.51,0.59,0.25
audio\audio_train\10647_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10648_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10649_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10650_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10651_happiness.wav,0.81,0.51,0.46
audio\audio_train\10652_happiness.wav,0.81,0.51,0.46
audio\audio_train\10653_neutral.wav,0.0,0.0,0.0
audio\audio_train\10655_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10656_neutral.wav,0.0,0.0,0.0
audio\audio_train\10657_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10658_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10659_anger.wav,-0.51,0.59,0.25
audio\audio_train\10660_neutral.wav,0.0,0.0,0.0
audio\audio_train\10661_neutral.wav,0.0,0.0,0.0
audio\audio_train\10662_anger.wav,-0.51,0.59,0.25
audio\audio_train\10664_neutral.wav,0.0,0.0,0.0
audio\audio_train\10665_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10667_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10668_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10669_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10670_neutral.wav,0.0,0.0,0.0
audio\audio_train\10671_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10672_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10674_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10675_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10676_neutral.wav,0.0,0.0,0.0
audio\audio_train\10677_happiness.wav,0.81,0.51,0.46
audio\audio_train\10678_happiness.wav,0.81,0.51,0.46
audio\audio_train\10679_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10680_anger.wav,-0.51,0.59,0.25
audio\audio_train\10681_happiness.wav,0.81,0.51,0.46
audio\audio_train\10682_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10683_neutral.wav,0.0,0.0,0.0
audio\audio_train\10684_neutral.wav,0.0,0.0,0.0
audio\audio_train\10685_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10686_anger.wav,-0.51,0.59,0.25
audio\audio_train\10687_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10688_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10689_neutral.wav,0.0,0.0,0.0
audio\audio_train\10690_neutral.wav,0.0,0.0,0.0
audio\audio_train\10692_neutral.wav,0.0,0.0,0.0
audio\audio_train\10693_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10695_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10696_happiness.wav,0.81,0.51,0.46
audio\audio_train\10697_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10698_happiness.wav,0.81,0.51,0.46
audio\audio_train\10699_anger.wav,-0.51,0.59,0.25
audio\audio_train\10701_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10702_happiness.wav,0.81,0.51,0.46
audio\audio_train\10703_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10704_happiness.wav,0.81,0.51,0.46
audio\audio_train\10705_happiness.wav,0.81,0.51,0.46
audio\audio_train\10706_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10707_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10708_happiness.wav,0.81,0.51,0.46
audio\audio_train\10710_happiness.wav,0.81,0.51,0.46
audio\audio_train\10711_happiness.wav,0.81,0.51,0.46
audio\audio_train\10712_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10713_anger.wav,-0.51,0.59,0.25
audio\audio_train\10714_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10715_happiness.wav,0.81,0.51,0.46
audio\audio_train\10716_happiness.wav,0.81,0.51,0.46
audio\audio_train\10717_anger.wav,-0.51,0.59,0.25
audio\audio_train\10718_neutral.wav,0.0,0.0,0.0
audio\audio_train\10719_anger.wav,-0.51,0.59,0.25
audio\audio_train\10720_happiness.wav,0.81,0.51,0.46
audio\audio_train\10721_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10722_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10723_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10724_neutral.wav,0.0,0.0,0.0
audio\audio_train\10725_anger.wav,-0.51,0.59,0.25
audio\audio_train\10726_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10727_anxiety.wav,-0.35,0.55,-0.45
audio\audio_train\10728_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10729_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10730_anger.wav,-0.51,0.59,0.25
audio\audio_train\10731_neutral.wav,0.0,0.0,0.0
audio\audio_train\10732_happiness.wav,0.81,0.51,0.46
audio\audio_train\10733_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10734_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10736_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10737_neutral.wav,0.0,0.0,0.0
audio\audio_train\10738_anger.wav,-0.51,0.59,0.25
audio\audio_train\10739_happiness.wav,0.81,0.51,0.46
audio\audio_train\10740_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10741_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10742_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10743_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10744_happiness.wav,0.81,0.51,0.46
audio\audio_train\10745_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10746_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10747_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10748_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10750_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10751_happiness.wav,0.81,0.51,0.46
audio\audio_train\10752_happiness.wav,0.81,0.51,0.46
audio\audio_train\10753_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10754_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10755_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10756_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10757_anger.wav,-0.51,0.59,0.25
audio\audio_train\10758_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10759_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10760_neutral.wav,0.0,0.0,0.0
audio\audio_train\10761_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10762_anger.wav,-0.51,0.59,0.25
audio\audio_train\10763_anger.wav,-0.51,0.59,0.25
audio\audio_train\10764_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10765_neutral.wav,0.0,0.0,0.0
audio\audio_train\10766_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10767_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10768_anger.wav,-0.51,0.59,0.25
audio\audio_train\10769_neutral.wav,0.0,0.0,0.0
audio\audio_train\10771_anger.wav,-0.51,0.59,0.25
audio\audio_train\10772_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10773_happiness.wav,0.81,0.51,0.46
audio\audio_train\10774_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10775_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10776_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10777_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10778_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10779_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10780_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10781_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10782_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10783_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10784_neutral.wav,0.0,0.0,0.0
audio\audio_train\10785_neutral.wav,0.0,0.0,0.0
audio\audio_train\10786_neutral.wav,0.0,0.0,0.0
audio\audio_train\10787_neutral.wav,0.0,0.0,0.0
audio\audio_train\10788_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10789_anger.wav,-0.51,0.59,0.25
audio\audio_train\10790_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10791_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10792_neutral.wav,0.0,0.0,0.0
audio\audio_train\10793_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10794_happiness.wav,0.81,0.51,0.46
audio\audio_train\10795_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10796_anger.wav,-0.51,0.59,0.25
audio\audio_train\10797_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10798_anger.wav,-0.51,0.59,0.25
audio\audio_train\10799_anxiety.wav,-0.35,0.55,-0.45
audio\audio_train\10800_happiness.wav,0.81,0.51,0.46
audio\audio_train\10801_happiness.wav,0.81,0.51,0.46
audio\audio_train\10802_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10803_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10805_happiness.wav,0.81,0.51,0.46
audio\audio_train\10806_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10807_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10809_neutral.wav,0.0,0.0,0.0
audio\audio_train\10810_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10811_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10812_anger.wav,-0.51,0.59,0.25
audio\audio_train\10814_happiness.wav,0.81,0.51,0.46
audio\audio_train\10815_neutral.wav,0.0,0.0,0.0
audio\audio_train\10816_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10817_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10818_neutral.wav,0.0,0.0,0.0
audio\audio_train\10819_fear.wav,-0.64,0.6,-0.43
audio\audio_train\10820_surprise.wav,0.4,0.67,-0.13
audio\audio_train\10821_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10822_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\10823_disgust.wav,-0.6,0.35,0.11
audio\audio_train\10824_neutral.wav,0.0,0.0,0.0
audio\audio_train\10826_anger.wav,-0.51,0.59,0.25
audio\audio_train\10827_anger.wav,-0.51,0.59,0.25
